"lonely_obs","male","agea","mnactic","domicil","hhmmb","eduyrs","trust_other","health","netustm","aesfdrk","hlthhmp","hincfel"
"0",1,35,"PaidWork","bigcity",3,17,1.6,4,720,2,1,1
"0",0,46,"PaidWork","village",4,14,1.4,2,120,2,0,3
"0",1,57,"PaidWork","town",2,20,1.4,1,120,1,0,3
"0",0,44,"PaidWork","village",2,16,2.3,1,180,2,0,1
"0",0,73,"Housework","town",2,3,0.8,3,0,4,0,3
"0",1,44,"PaidWork","bigcity",4,10,1.7,2,210,3,0,3
"1",0,56,"Housework","village",3,15,1.6,3,120,2,1,2
"0",0,32,"PaidWork","bigcity",2,21,2.3,1,720,2,0,2
"0",0,35,"PaidWork","village",3,20,2,4,420,2,1,2
"0",1,56,"PaidWork","bigcity",4,13,0.8,2,240,2,0,2
"0",1,26,"Housework","bigcity",4,14,1.4,3,120,2,0,1
"0",0,20,"Education","village",6,14,2.4,1,300,2,0,1
"0",0,49,"Unemployed","town",2,9,1.5,4,90,3,0,4
"0",1,32,"PaidWork","village",1,18,1,1,120,2,0,1
"0",1,72,"PaidWork","village",2,7,2,2,0,1,0,2
"0",0,71,"Housework","countryside",2,8,1,3,0,1,0,1
"1",1,64,"Unemployed","village",3,13,2.5,2,180,2,0,2
"0",1,79,"Retired","bigcity",3,6,1.3,2,0,1,0,1
"0",1,19,"Education","town",4,15,1.8,1,360,1,0,2
"0",0,74,"Retired","village",2,5,0,5,0,2,1,2
"0",1,54,"PaidWork","town",4,27,1.4,3,720,2,0,2
"0",0,58,"Unemployed","village",4,14,0.9,3,120,2,0,4
"0",1,65,"sickDisabled","suburb",5,9,1.4,2,0,2,0,1
"0",0,59,"Housework","village",2,14,1.3,2,120,3,0,1
"1",1,63,"PaidWork","bigcity",4,15,2.6,3,0,1,0,3
"0",0,19,"Education","suburb",2,12,1.7,2,300,2,0,2
"0",0,44,"PaidWork","bigcity",5,14,2.5,2,120,2,0,3
"1",1,30,"PaidWork","suburb",2,18,1.8,2,360,1,0,4
"1",1,70,"Retired","bigcity",2,23,1.4,2,0,2,0,3
"0",1,53,"PaidWork","village",2,8,1.5,2,40,2,0,2
"1",1,36,"PaidWork","town",3,20,0.7,1,360,1,1,3
"0",1,84,"Retired","town",2,2,2.4,2,0,2,0,1
"0",1,79,"Retired","village",2,5,1.9,3,0,2,0,1
"0",1,33,"PaidWork","town",2,23,2.1,1,180,2,0,2
"0",0,74,"Retired","village",2,8,1.2,4,0,3,1,2
"1",0,68,"Retired","village",2,18,1.8,3,180,2,0,1
"0",0,28,"PaidWork","town",1,15,0.9,3,360,2,0,1
"1",1,47,"PaidWork","village",3,14,1.3,4,600,1,1,2
"0",0,17,"Housework","village",2,13,1,1,480,2,0,1
"0",1,64,"PaidWork","village",2,16,1.2,2,60,1,0,1
"1",1,30,"PaidWork","bigcity",1,6,0.9,2,600,1,0,1
"0",1,39,"PaidWork","town",4,20,2.5,1,630,1,0,1
"0",1,78,"Retired","town",2,10,1.3,3,0,2,0,2
"0",0,42,"PaidWork","town",4,19,1.5,3,240,2,0,1
"1",1,25,"Unemployed","village",4,16,2,2,600,1,0,2
"1",0,41,"Education","village",5,20,2.3,2,180,2,0,1
"0",0,28,"PaidWork","bigcity",2,20,1.9,2,300,1,0,2
"0",0,59,"Housework","village",2,11,2.2,3,15,3,0,3
"0",0,71,"Housework","village",2,5,1.1,2,0,1,0,1
"1",0,41,"PaidWork","town",4,14,1.7,2,300,2,0,1
"1",1,38,"PaidWork","suburb",3,18,0.5,2,600,1,0,1
"0",0,21,"Education","bigcity",4,18,1.8,1,240,3,0,1
"0",1,78,"Retired","village",2,5,2.8,3,0,3,0,1
"0",1,22,"PaidWork","town",4,15,1.7,1,300,1,0,2
"0",0,56,"PaidWork","village",4,17,0.7,2,510,2,0,2
"0",1,43,"PaidWork","village",5,15,2,2,180,2,0,1
"1",1,61,"Housework","countryside",2,13,1.5,3,120,2,0,2
"0",0,24,"PaidWork","village",3,13,1.2,3,300,2,1,3
"0",0,47,"PaidWork","town",2,20,1.1,3,600,2,1,2
"0",0,71,"Retired","town",2,12,1,3,120,3,0,1
"1",1,16,"Education","village",4,11,1.8,1,300,1,0,2
"1",0,19,"PaidWork","village",3,14,0.5,2,300,1,0,2
"0",1,73,"Retired","town",2,9,1.4,3,30,2,0,1
"0",0,51,"PaidWork","bigcity",2,24,2.1,3,180,2,0,3
"1",0,50,"PaidWork","town",3,12,1.5,3,0,1,0,2
"1",0,41,"Housework","suburb",6,17,1.6,2,240,1,0,3
"0",0,54,"PaidWork","bigcity",3,16,2.2,2,60,2,0,1
"1",0,47,"Housework","village",4,7,1.6,2,60,3,0,4
"0",1,58,"PaidWork","village",1,15,1.8,2,600,1,0,2
"0",0,26,"PaidWork","bigcity",3,19,2.2,1,720,3,0,1
"1",1,41,"Unemployed","town",5,5,1.9,2,0,4,0,4
"0",1,49,"PaidWork","village",4,9,1.4,1,30,4,0,3
"0",1,64,"PaidWork","bigcity",4,16,1.3,2,30,2,0,1
"0",1,23,"PaidWork","town",3,17,1,2,600,2,0,2
"1",0,72,"Retired","town",1,4,0,4,0,2,1,3
"0",1,46,"sickDisabled","suburb",2,10,1.8,2,60,1,1,3
"0",0,32,"PaidWork","village",3,20,2,1,540,1,0,2
"0",1,48,"PaidWork","village",3,15,1,2,120,1,0,1
"1",1,34,"PaidWork","village",1,22,1.6,1,600,1,0,3
"1",0,80,"Housework","town",1,12,1.1,3,0,3,1,3
"0",0,75,"Retired","village",2,14,1.9,4,60,3,0,1
"1",1,50,"PaidWork","town",3,12,1.9,3,120,1,0,1
"0",1,47,"PaidWork","village",2,10,1.6,2,120,2,0,2
"0",1,55,"PaidWork","bigcity",2,10,1.5,4,480,2,1,1
"0",0,43,"PaidWork","town",4,16,1.8,1,120,2,0,2
"1",1,60,"PaidWork","village",4,17,1.2,2,120,2,0,1
"0",0,58,"Housework","village",3,13,1.4,2,15,2,0,1
"0",1,76,"Retired","village",2,9,1,4,0,2,1,2
"1",1,58,"sickDisabled","bigcity",2,15,1.4,3,60,2,1,2
"1",0,52,"sickDisabled","town",3,15,1.8,3,360,3,1,2
"1",1,25,"PaidWork","bigcity",4,14,1.8,1,300,2,0,1
"0",1,23,"PaidWork","village",3,15,1.1,1,180,2,0,1
"1",1,49,"PaidWork","village",2,2,0.6,3,300,2,0,3
"0",1,77,"PaidWork","village",2,7,2.5,2,0,2,0,2
"1",0,81,"Housework","village",1,0,0.8,3,0,2,0,3
"0",0,40,"PaidWork","town",4,17,2.1,1,300,1,0,3
"1",0,35,"Unemployed","village",4,13,1.6,3,240,1,0,4
"1",0,28,"Unemployed","town",3,10,0.9,2,60,2,0,3
"0",0,19,"Education","town",5,14,1.3,2,600,4,0,1
"0",0,54,"PaidWork","town",1,19,2,1,180,2,0,2
"0",1,38,"PaidWork","village",3,12,1.8,1,180,1,0,1
"0",0,66,"Unemployed","town",2,13,2,3,60,1,0,1
"0",0,49,"PaidWork","village",4,14,1.5,1,60,2,0,3
"0",0,20,"Education","village",4,17,2.5,1,540,2,0,1
"0",0,74,"Retired","village",2,15,2.5,2,0,2,0,2
"0",0,42,"Unemployed","town",2,14,2,2,240,2,0,2
"1",0,22,"PaidWork","village",5,14,1.4,3,360,2,0,1
"1",0,34,"PaidWork","village",1,17,1.9,1,600,2,0,4
"1",0,21,"Education","village",3,14,1.7,2,600,1,0,1
"0",0,18,"Education","village",3,12,2,1,390,2,0,2
"0",1,76,"Retired","town",3,10,1.3,4,90,2,0,2
"1",0,75,"Housework","bigcity",1,8,1.8,3,0,3,0,1
"0",1,76,"Retired","village",2,17,1.2,3,0,2,0,1
"1",1,75,"Retired","bigcity",1,18,1.9,2,240,1,0,1
"0",1,79,"Retired","bigcity",2,11,1.8,1,60,3,0,1
"0",0,55,"PaidWork","village",2,10,1.3,1,240,1,0,2
"0",1,72,"Retired","town",2,12,1.8,1,0,2,0,2
"0",0,65,"Retired","town",1,17,2,3,60,2,0,2
"0",1,42,"PaidWork","bigcity",4,19,2,2,300,2,0,2
"0",1,22,"Unemployed","bigcity",5,12,1.2,1,300,2,0,2
"0",1,69,"Retired","village",1,22,1.5,1,0,1,0,1
"0",0,27,"PaidWork","town",2,16,1.3,2,300,2,0,2
"0",1,52,"PaidWork","bigcity",5,27,2,2,360,2,0,3
"1",1,50,"PaidWork","bigcity",2,7,1.1,2,60,1,1,2
"0",0,51,"PaidWork","town",4,23,2.2,2,540,1,0,1
"0",0,49,"PaidWork","town",4,45,2,2,840,4,0,1
"0",0,75,"Retired","town",1,25,2.4,3,0,1,1,1
"1",1,24,"PaidWork","suburb",2,14,2,1,420,2,0,2
"0",0,73,"Retired","suburb",1,10,1.9,3,0,4,0,3
"1",1,49,"PaidWork","town",3,10,2.2,2,120,1,0,2
"0",1,46,"PaidWork","town",3,19,1.6,3,480,2,0,1
"1",0,56,"PaidWork","town",4,18,1.6,2,720,1,0,1
"0",1,61,"PaidWork","town",2,8,1.4,3,240,3,1,2
"0",1,55,"Unemployed","bigcity",4,16,2.2,1,240,1,0,2
"0",1,30,"PaidWork","town",3,20,1.9,2,420,2,0,2
"0",0,19,"Education","village",4,15,1.1,1,360,1,0,1
"1",1,25,"PaidWork","town",5,18,1.9,2,720,1,1,1
"0",0,33,"Unemployed","village",3,13,1.7,3,240,3,0,2
"0",1,45,"PaidWork","village",4,20,1.1,1,30,1,0,2
"0",0,47,"PaidWork","suburb",4,20,1.7,2,420,2,0,2
"0",0,72,"Retired","bigcity",3,12,1.4,2,120,2,0,2
"0",1,45,"PaidWork","village",4,14,0.8,1,300,1,0,1
"1",1,76,"Retired","town",1,13,1.3,3,0,2,0,1
"0",1,16,"Education","town",3,13,1.6,2,420,3,0,3
"0",1,34,"PaidWork","village",2,9,2.5,1,20,1,0,2
"1",1,63,"PaidWork","suburb",5,22,2.4,2,600,2,0,1
"0",0,43,"PaidWork","village",4,25,1.7,2,360,3,0,1
"0",0,63,"PaidWork","bigcity",2,18,2.1,1,120,2,0,1
"0",1,54,"PaidWork","town",3,8,1.4,2,60,3,0,3
"0",0,46,"PaidWork","village",4,12,0.9,2,120,2,0,1
"0",0,54,"PaidWork","village",3,20,0.9,4,240,3,1,1
"0",0,66,"Housework","village",2,5,1.9,1,0,2,0,3
"0",1,51,"PaidWork","village",5,12,1.8,2,360,3,0,1
"0",0,37,"Housework","town",4,20,1.7,3,300,4,0,1
"0",0,64,"Housework","bigcity",2,10,1.4,3,10,2,0,1
"0",0,40,"PaidWork","suburb",4,18,1.4,1,660,3,0,3
"0",1,38,"PaidWork","village",3,22,1.5,3,180,2,1,2
"0",0,56,"Unemployed","bigcity",2,12,1.4,2,60,2,0,2
"0",1,49,"PaidWork","village",4,16,1,2,360,2,0,1
"1",0,51,"PaidWork","village",3,13,0.9,3,120,3,0,2
"0",0,40,"PaidWork","town",4,18,1.8,2,40,2,0,2
"1",1,69,"Retired","village",1,2,0.9,3,0,2,0,2
"0",0,37,"PaidWork","town",3,10,1.3,3,30,3,0,2
"0",0,49,"PaidWork","village",3,16,1.4,1,480,3,0,3
"1",1,64,"PaidWork","town",1,21,1.7,2,240,2,0,2
"0",1,44,"PaidWork","town",5,17,2.2,1,120,1,0,1
"1",0,67,"Retired","suburb",2,10,1.9,4,0,3,1,1
"0",0,54,"Housework","village",4,15,1.9,3,210,2,1,1
"0",0,31,"PaidWork","suburb",4,19,1.5,1,360,2,0,1
"0",0,85,"Retired","village",1,0,0.9,2,0,2,1,2
"1",1,28,"PaidWork","bigcity",3,13,1.3,1,420,1,0,2
"0",1,23,"Education","town",3,14,1.6,1,240,2,0,2
"1",1,64,"sickDisabled","village",1,18,1.7,4,240,2,1,2
"1",0,54,"PaidWork","village",3,10,1.1,4,60,4,0,4
"0",0,41,"PaidWork","village",4,10,0.6,3,0,2,1,2
"0",1,58,"PaidWork","suburb",6,22,2,2,600,1,0,1
"0",1,50,"PaidWork","suburb",3,16,1.8,2,600,1,0,1
"0",0,47,"PaidWork","village",2,24,1.5,2,360,2,0,2
"0",1,70,"Retired","bigcity",2,0,0.9,4,0,1,1,3
"0",0,32,"PaidWork","village",2,21,2.1,3,150,2,1,2
"1",1,23,"Education","town",4,17,2,1,270,1,0,1
"0",0,41,"PaidWork","village",3,36,2,1,180,2,0,2
"0",1,38,"PaidWork","village",5,10,2.2,3,30,1,0,1
"1",1,16,"Education","suburb",4,12,1.3,2,120,3,0,1
"1",0,83,"Retired","village",3,16,1.8,3,240,2,0,1
"0",1,38,"PaidWork","village",5,13,0.6,2,540,1,0,1
"0",0,41,"PaidWork","village",4,24,1.2,1,60,2,0,1
"1",0,57,"PaidWork","village",2,14,1.6,2,150,2,0,2
"0",0,34,"PaidWork","bigcity",2,20,1.1,3,720,1,0,1
"0",1,63,"PaidWork","town",2,19,2.3,3,120,1,0,1
"0",0,19,"Education","village",4,15,1.9,1,300,2,0,1
"1",0,90,"Retired","town",1,3,2,2,0,2,0,1
"0",1,68,"Retired","village",2,16,1.6,4,120,2,0,3
"0",0,48,"PaidWork","village",1,20,1.9,2,600,3,0,2
"1",0,71,"Retired","village",1,9,1,3,0,2,0,3
"1",0,28,"Education","town",3,24,1.7,3,180,3,0,1
"0",1,19,"Education","town",3,15,1.9,2,240,2,1,1
"0",0,55,"PaidWork","bigcity",4,15,0.6,2,240,4,0,2
"1",1,55,"sickDisabled","bigcity",2,8,1.6,4,0,3,1,3
"0",1,62,"Retired","town",1,25,1.3,1,360,1,0,1
"1",1,37,"PaidWork","town",2,17,1,2,720,2,0,2
"0",0,68,"Housework","town",1,6,0,2,0,2,0,2
"0",1,21,"Education","bigcity",4,17,1.4,1,360,1,0,1
"0",0,46,"PaidWork","village",7,14,1.7,3,15,1,0,3
"0",0,51,"PaidWork","suburb",10,11,2.5,1,120,2,0,2
"0",1,34,"PaidWork","town",3,30,0.8,1,360,2,0,2
"1",0,68,"Retired","village",2,15,2,3,15,2,0,2
"0",1,32,"PaidWork","bigcity",2,14,1.8,2,480,2,0,2
"0",1,68,"Retired","bigcity",4,25,1.4,2,60,2,0,1
"0",1,57,"sickDisabled","town",5,22,2.3,3,60,1,0,1
"0",1,64,"Unemployed","village",3,23,1.8,3,0,1,0,3
"0",0,53,"PaidWork","bigcity",4,14,1.4,2,0,2,0,3
"1",0,22,"Education","village",1,15,0.6,3,360,2,1,4
"0",1,24,"PaidWork","bigcity",2,19,1.5,3,420,1,0,2
"1",0,67,"Retired","suburb",2,10,1.8,2,0,2,0,1
"1",1,25,"PaidWork","suburb",1,21,1.4,2,270,1,0,3
"0",0,32,"Unemployed","town",3,24,1.5,2,300,2,0,1
"0",0,74,"Housework","village",2,8,1.1,2,0,3,0,2
"0",1,45,"PaidWork","bigcity",4,18,1.7,2,120,1,0,2
"0",1,71,"Retired","village",2,18,0.5,3,30,1,0,1
"0",0,40,"Education","bigcity",4,25,1.8,1,120,1,0,2
"0",1,37,"PaidWork","suburb",2,17,1.6,2,600,1,0,2
"0",0,84,"Retired","village",2,4,1.5,3,0,2,0,2
"0",1,65,"Retired","town",2,16,1,2,120,1,0,1
"0",0,64,"Unemployed","town",3,10,1.9,2,0,2,0,3
"1",1,19,"PaidWork","village",5,12,1,1,180,1,0,3
"0",0,24,"PaidWork","town",3,13,2,3,240,4,1,2
"0",0,55,"Unemployed","village",3,11,0.9,1,0,2,0,2
"1",0,45,"PaidWork","town",4,17,2.2,4,360,3,0,2
"0",1,19,"Education","village",3,16,0.9,2,240,1,0,1
"0",0,30,"PaidWork","bigcity",2,27,0.8,1,90,2,0,1
"1",0,47,"PaidWork","village",3,20,1.6,2,360,2,0,2
"0",0,43,"PaidWork","bigcity",2,13,0.8,2,480,3,0,2
"0",1,70,"Retired","village",4,9,1.9,2,0,1,0,2
"0",0,50,"PaidWork","village",2,40,0.6,3,720,1,0,3
"1",0,74,"Retired","bigcity",1,19,2,2,0,2,0,1
"1",0,36,"PaidWork","town",3,21,2,2,720,1,0,1
"0",1,29,"PaidWork","town",5,12,2.3,1,300,1,0,2
"0",0,27,"Education","bigcity",3,20,2.2,1,180,2,0,1
"1",1,53,"PaidWork","town",4,22,0.9,1,600,1,0,2
"0",0,83,"Retired","bigcity",3,15,1.4,4,0,2,1,1
"0",1,53,"PaidWork","bigcity",4,9,1.8,2,420,2,0,1
"0",1,42,"PaidWork","town",4,20,0.4,2,480,2,0,1
"1",1,28,"Unemployed","village",3,13,1.7,2,210,2,0,3
"0",0,63,"PaidWork","town",1,11,0.5,4,60,2,0,3
"0",0,52,"PaidWork","village",3,15,2.2,3,30,3,0,2
"0",0,50,"PaidWork","village",2,20,0.9,3,300,2,0,2
"0",0,39,"Unemployed","town",3,17,2.2,4,300,2,1,4
"1",1,42,"PaidWork","suburb",1,0,1.7,2,600,1,0,4
"0",1,43,"PaidWork","village",5,17,1.9,3,120,2,1,2
"0",0,53,"PaidWork","village",3,16,2.3,2,720,2,0,4
"1",0,43,"Unemployed","town",4,15,1.3,3,120,2,0,2
"1",0,56,"PaidWork","town",2,18,1.6,1,300,3,0,1
"1",0,31,"PaidWork","town",3,21,1,2,600,2,0,1
"0",0,67,"Retired","town",5,5,0.8,3,60,3,0,3
"0",0,19,"Unemployed","suburb",5,14,2.1,1,180,2,0,2
"1",1,62,"Other","bigcity",3,20,1.8,3,180,2,0,1
"0",1,60,"PaidWork","village",1,14,2.4,2,0,1,0,2
"0",1,76,"Retired","village",3,11,1.7,2,0,2,0,3
"0",1,19,"Education","bigcity",4,16,1,2,240,2,0,1
"0",1,61,"PaidWork","bigcity",2,15,0.7,3,480,2,1,2
"0",0,62,"Retired","village",2,20,2,4,150,2,1,1
"1",0,63,"Housework","town",4,15,1.5,2,60,2,0,1
"0",0,54,"PaidWork","bigcity",1,5,1.7,2,120,2,0,2
"1",0,45,"Unemployed","town",3,18,1.2,2,300,2,0,3
"0",1,76,"Retired","village",2,7,1.5,3,0,2,0,2
"1",1,90,"Retired","town",2,7,1.6,3,0,2,0,1
"1",1,61,"sickDisabled","town",4,9,1.1,4,0,2,1,2
"0",1,45,"PaidWork","town",4,16,1.5,3,360,1,0,2
"0",0,84,"Retired","village",2,9,1.9,4,0,1,1,1
"0",1,75,"Retired","bigcity",3,10,1.8,1,0,3,0,3
"0",1,23,"Education","village",4,16,0.8,1,360,1,0,1
"0",0,54,"Housework","village",2,17,1.4,2,120,3,0,2
"0",1,19,"Unemployed","town",3,15,1.7,2,300,2,0,2
"1",0,45,"Unemployed","town",4,18,1.6,2,180,2,0,1
"0",1,54,"PaidWork","bigcity",1,20,0.9,2,360,2,0,1
"0",1,54,"sickDisabled","village",4,13,0.5,3,420,1,1,3
"0",0,33,"PaidWork","town",3,20,1.7,1,600,1,0,1
"0",0,47,"Housework","village",5,16,1.4,5,60,4,1,1
"0",1,39,"PaidWork","bigcity",3,21,2.3,1,600,1,0,2
"0",1,68,"Retired","town",2,12,2,2,120,2,0,1
"1",0,48,"sickDisabled","town",4,13,1.2,3,300,3,1,2
"0",0,47,"PaidWork","village",4,18,1.2,1,465,1,0,1
"0",0,53,"Housework","village",2,12,1.8,3,120,1,0,1
"1",0,28,"PaidWork","village",3,19,1.8,2,480,3,0,1
"0",0,26,"PaidWork","town",2,22,1.7,3,720,2,1,1
"0",0,55,"PaidWork","bigcity",1,9,1.6,3,180,2,0,2
"1",0,40,"Unemployed","town",4,22,1.9,4,360,1,1,3
"0",1,34,"PaidWork","town",3,14,0.6,2,240,1,1,2
"0",1,55,"PaidWork","bigcity",3,30,1.4,1,120,1,0,2
"0",0,27,"Unemployed","bigcity",10,11,1.7,2,900,2,0,3
"0",0,76,"Housework","village",2,7,1.3,2,60,1,0,2
"1",0,20,"Education","village",2,14,1.2,2,420,2,0,4
"1",1,21,"PaidWork","town",1,10,0.5,2,480,3,0,3
"0",0,78,"Housework","bigcity",2,3,1.7,4,0,2,1,2
"0",1,36,"PaidWork","town",2,20,1.6,2,570,2,0,1
"1",0,81,"Housework","village",1,6,1.7,1,60,2,0,2
"1",1,18,"Education","suburb",5,11,1.6,2,480,2,0,1
"0",0,59,"PaidWork","bigcity",4,13,2.2,4,120,2,1,1
"0",1,60,"PaidWork","bigcity",3,21,1.6,3,60,4,1,1
"1",0,47,"Housework","village",4,23,1.5,3,480,2,0,1
"1",0,17,"Education","town",5,12,1.4,2,300,2,0,1
"0",0,46,"PaidWork","bigcity",1,11,1.3,3,270,1,0,2
"0",1,41,"Unemployed","town",4,14,1,3,120,2,0,4
"0",0,44,"PaidWork","suburb",5,18,2.2,3,660,1,0,3
"0",0,16,"Education","suburb",7,12,1.2,1,60,2,0,2
"0",1,28,"PaidWork","suburb",2,21,1.9,2,600,1,0,2
"1",0,78,"Retired","village",1,2,0.3,5,0,2,1,1
"1",1,34,"Unemployed","village",3,10,1.3,3,0,1,0,3
"0",0,62,"PaidWork","town",2,24,1.9,1,540,1,0,1
"0",1,58,"PaidWork","village",2,19,1,2,480,1,0,1
"1",0,73,"Retired","bigcity",2,7,1.2,4,0,3,1,3
"0",1,75,"Retired","town",4,20,1.8,3,120,1,0,1
"0",1,45,"Unemployed","village",4,10,0.5,2,300,2,0,4
"0",1,30,"PaidWork","town",3,18,0.4,1,480,1,0,2
"0",1,27,"PaidWork","suburb",3,15,1.3,2,600,1,0,1
"1",0,61,"PaidWork","bigcity",4,17,1.8,2,120,2,0,2
"0",0,70,"Retired","village",2,17,1,2,0,2,0,1
"0",1,50,"PaidWork","bigcity",3,15,1.9,3,660,2,0,2
"0",1,67,"Retired","village",3,25,1.5,1,150,1,0,1
"0",1,51,"PaidWork","suburb",1,17,2.2,2,0,1,0,2
"0",1,74,"Retired","bigcity",2,12,2.2,2,30,1,0,3
"0",0,40,"PaidWork","village",4,14,0.7,2,120,1,1,1
"0",1,21,"PaidWork","town",4,13,1.7,1,420,1,0,1
"1",1,24,"Housework","suburb",3,7,0.8,2,360,1,0,3
"1",1,63,"PaidWork","village",3,8,2,2,0,2,0,3
"1",0,71,"Retired","town",1,10,0.9,3,0,3,1,2
"1",0,66,"Retired","town",2,12,1.5,4,0,4,0,2
"0",1,72,"Retired","village",2,10,1.1,4,0,4,1,3
"1",0,65,"Retired","village",2,16,1.8,3,120,2,0,2
"1",1,90,"Retired","town",1,18,2.4,3,60,1,0,1
"0",1,53,"PaidWork","village",4,14,1.9,1,120,1,0,1
"0",1,17,"Education","suburb",7,13,1.7,1,180,1,0,1
"1",1,74,"Retired","bigcity",1,10,1.4,2,0,2,0,1
"1",0,41,"PaidWork","village",2,23,2,1,360,1,0,2
"0",0,58,"PaidWork","town",2,18,1.5,2,120,3,0,1
"0",0,49,"PaidWork","village",4,10,1.4,2,360,2,0,3
"0",0,26,"PaidWork","village",5,10,1.3,2,300,3,0,4
"1",1,58,"PaidWork","countryside",5,20,1.9,2,40,1,0,1
"0",1,25,"PaidWork","village",3,21,1.1,2,480,1,1,1
"1",1,65,"Retired","village",1,7,0.8,4,0,2,1,2
"0",0,33,"Housework","village",3,17,1.2,2,90,1,0,2
"1",1,44,"PaidWork","village",1,32,1.5,2,540,2,0,1
"1",1,73,"Retired","town",4,5,1.1,3,0,2,1,2
"0",1,73,"Retired","village",2,7,1.5,2,0,2,0,2
"0",0,39,"Unemployed","bigcity",4,11,2.6,3,120,2,0,4
"0",0,71,"Retired","suburb",2,12,1.7,2,0,3,1,1
"0",0,56,"PaidWork","village",2,24,2.4,1,600,1,0,1
"0",1,25,"Education","bigcity",1,18,1.5,2,360,1,0,3
"0",0,48,"PaidWork","bigcity",4,15,2.3,3,480,3,0,1
"0",0,50,"PaidWork","bigcity",6,20,1.1,2,0,3,0,1
"0",0,26,"PaidWork","town",3,21,1.9,2,300,2,0,1
"1",0,65,"sickDisabled","village",2,12,2,3,0,2,0,2
"0",1,57,"PaidWork","town",2,19,1.8,1,240,1,0,1
"0",1,24,"PaidWork","town",4,14,1,2,240,3,0,3
"0",1,78,"Retired","village",2,10,1.7,3,0,2,1,2
"0",0,26,"Unemployed","village",3,21,1.3,3,720,3,1,2
"0",1,65,"PaidWork","village",2,14,1.6,2,60,1,0,2
"0",0,68,"Retired","town",2,15,1.7,3,120,2,0,1
"0",0,43,"PaidWork","bigcity",2,21,2.1,1,60,2,0,1
"0",0,59,"PaidWork","bigcity",2,19,2.2,2,300,2,0,1
"0",0,22,"Education","village",6,17,1.9,2,150,2,0,3
"1",1,47,"PaidWork","town",3,17,1.4,1,540,2,0,4
"0",1,74,"Retired","village",1,2,1.5,2,0,1,0,2
"0",0,35,"PaidWork","village",2,12,1.5,2,600,2,0,2
"0",1,53,"PaidWork","town",3,15,2.1,3,180,1,0,1
"0",1,47,"PaidWork","village",1,14,1.7,2,30,1,0,2
"0",0,49,"Unemployed","village",4,23,2.3,2,240,3,0,3
"1",0,32,"PaidWork","village",5,13,1.3,3,300,4,1,3
"1",1,23,"Education","town",4,18,1.8,1,240,1,0,1
"0",1,19,"Education","bigcity",5,16,1.5,2,240,2,0,1
"0",1,40,"PaidWork","town",4,9,1.7,4,120,1,1,2
"0",1,63,"PaidWork","bigcity",3,20,1.7,1,120,1,0,1
"0",0,44,"Education","suburb",3,28,1.4,3,360,3,1,2
"0",0,61,"sickDisabled","bigcity",2,20,2.1,3,120,2,0,2
"0",1,51,"PaidWork","town",4,23,1.5,3,45,1,0,2
"1",1,67,"Retired","town",3,20,2.2,3,180,1,0,1
"0",0,59,"PaidWork","bigcity",5,20,2.1,2,90,2,0,1
"1",1,44,"PaidWork","town",1,22,1.2,3,630,2,0,2
"0",0,18,"Education","town",4,14,1.5,3,360,2,0,2
"0",0,17,"Education","suburb",5,13,2.1,1,240,1,0,1
"1",1,52,"Unemployed","bigcity",2,8,0.9,4,0,2,1,3
"1",1,63,"PaidWork","bigcity",2,13,1.2,3,30,2,0,1
"0",0,48,"PaidWork","village",4,21,2.2,2,180,2,0,1
"0",1,62,"PaidWork","village",3,14,1.3,3,30,1,1,2
"1",1,16,"Education","suburb",3,13,2.1,1,540,2,0,1
"1",0,30,"PaidWork","bigcity",1,19,2.1,2,180,1,0,2
"1",1,48,"PaidWork","town",3,26,1.4,2,240,2,0,2
"0",1,47,"PaidWork","town",2,23,1.1,3,600,2,0,1
"1",0,43,"PaidWork","town",4,20,2,3,480,2,0,1
"0",1,36,"Unemployed","bigcity",5,12,1.9,1,720,2,0,3
"0",0,46,"PaidWork","town",4,15,2.3,2,90,2,0,2
"0",0,63,"Retired","village",2,8,1.3,4,0,2,1,2
"0",0,77,"Retired","village",2,8,0.4,4,0,3,0,3
"0",1,61,"PaidWork","village",4,18,1.4,1,120,1,0,1
"0",1,33,"PaidWork","bigcity",2,14,1.6,2,240,2,0,3
"0",1,24,"PaidWork","village",4,16,1.4,3,240,1,0,1
"0",1,42,"Unemployed","bigcity",3,12,1.9,1,120,2,0,3
"0",0,18,"Education","bigcity",4,11,1.3,3,180,2,1,1
"0",1,81,"Retired","village",2,5,2,3,0,2,0,2
"0",1,50,"PaidWork","suburb",2,10,2,1,150,2,0,3
"1",1,26,"PaidWork","village",2,22,1.2,1,720,2,0,2
"0",0,65,"PaidWork","town",3,8,1.8,3,30,2,0,2
"0",0,72,"Retired","bigcity",1,17,2.1,3,180,2,0,1
"0",0,27,"PaidWork","town",2,20,2.5,1,480,3,0,2
"1",0,59,"Housework","town",3,5,1.6,3,0,2,0,4
"0",1,74,"Retired","bigcity",2,9,1.2,4,180,2,1,1
"1",1,44,"PaidWork","village",4,13,1.5,2,60,1,0,3
"0",0,67,"Retired","village",2,5,1.3,4,60,3,0,2
"0",0,40,"PaidWork","suburb",2,20,1.7,3,210,3,0,2
"0",0,59,"PaidWork","bigcity",4,20,1.5,2,240,2,0,3
"0",1,37,"PaidWork","town",3,22,2,2,720,2,0,1
