"regunit","region","trstprl","trstlgl","trstplc","trstplt","trstprt","freehms","hmsfmlsh","hmsacld","eqwrkbg","eqpolbg","eqmgmbg","eqpaybg"
2,"AT12",9,9,10,7,6,2,5,2,6,5,6,6
2,"AT13",0,0,4,0,0,1,5,1,6,6,6,6
2,"AT12",4,3,6,3,5,2,4,2,5,5,6,6
2,"AT31",3,7,0,0,0,2,4,2,6,6,6,6
2,"AT13",5,4,5,4,4,2,2,2,4,3,3,8
2,"AT21",7,9,8,6,6,1,5,2,4,5,4,4
2,"AT22",7,9,9,5,5,1,5,1,5,5,5,6
2,"AT13",1,3,1,1,1,1,5,5,6,6,6,6
2,"AT22",6,8,8,5,5,2,5,3,3,2,3,3
2,"AT13",4,8,8,88,88,2,5,2,8,6,6,6
2,"AT22",5,5,5,5,5,1,5,1,4,4,4,6
2,"AT31",7,10,9,7,8,2,2,4,0,3,3,3
2,"AT12",3,2,3,1,1,3,3,4,1,4,4,6
2,"AT33",3,3,6,3,3,1,5,1,6,3,3,6
2,"AT22",7,9,10,6,5,1,4,4,3,4,4,4
2,"AT31",5,8,8,4,4,2,3,4,5,4,4,5
2,"AT13",5,6,6,5,6,1,5,1,6,6,6,6
2,"AT22",3,6,6,2,2,2,5,4,6,5,5,5
2,"AT33",5,6,6,3,3,1,5,1,8,6,6,6
2,"AT33",2,7,7,0,1,2,5,2,6,6,6,6
2,"AT12",10,10,10,10,8,1,5,1,5,5,4,5
2,"AT31",9,6,5,9,7,4,5,4,3,3,3,3
2,"AT13",10,10,10,7,7,1,5,1,6,6,6,6
2,"AT31",2,6,9,1,2,2,4,2,6,5,5,5
2,"AT12",4,7,7,3,3,1,5,1,2,5,5,6
2,"AT33",7,6,8,8,8,1,5,2,2,2,3,6
2,"AT12",4,4,4,2,4,3,3,7,8,4,4,7
2,"AT13",1,4,7,0,0,1,5,1,3,5,5,6
2,"AT12",1,5,8,0,0,5,5,5,2,3,3,3
2,"AT13",4,8,10,1,3,1,5,2,2,4,4,6
2,"AT34",6,7,5,5,7,4,4,5,3,3,1,1
2,"AT12",4,7,8,3,2,2,4,3,6,3,3,6
2,"AT22",7,8,8,7,7,1,5,2,3,4,5,6
2,"AT12",88,7,7,2,2,8,8,8,3,4,3,5
2,"AT34",4,2,4,7,5,3,3,4,4,3,3,5
2,"AT31",5,7,7,3,2,2,3,4,6,4,3,6
2,"AT21",4,4,4,4,4,1,4,3,3,3,3,3
2,"AT32",0,0,0,2,2,1,5,1,0,8,6,6
2,"AT22",6,8,9,4,6,2,4,2,6,5,5,5
2,"AT13",9,10,10,9,9,1,4,2,6,6,6,6
2,"AT13",8,9,8,8,7,1,5,1,6,6,6,6
2,"AT21",7,8,8,5,5,1,5,1,3,6,6,6
2,"AT11",4,4,8,2,2,4,8,5,4,3,4,4
2,"AT32",7,7,7,7,7,1,4,1,4,5,4,5
2,"AT13",5,4,5,2,2,2,5,5,6,6,6,6
2,"AT12",5,10,8,2,1,1,5,1,4,4,3,3
2,"AT22",6,7,8,6,6,2,3,3,5,5,5,5
2,"AT32",10,7,9,8,4,3,2,3,2,4,5,4
2,"AT13",4,8,9,4,4,2,4,3,4,6,5,6
2,"AT32",3,6,8,0,4,2,8,3,6,6,6,6
2,"AT13",1,3,8,0,0,1,5,2,6,8,6,6
2,"AT33",3,3,3,2,2,2,4,1,6,6,6,6
2,"AT33",3,4,4,3,3,1,3,1,4,3,3,4
2,"AT22",6,6,8,6,6,1,5,1,5,3,3,4
2,"AT11",9,10,10,8,8,1,5,1,5,5,5,5
2,"AT31",8,9,9,7,7,2,4,3,4,6,6,6
2,"AT31",6,7,7,4,6,2,3,3,3,4,3,3
2,"AT12",7,9,9,7,7,1,5,1,2,6,6,6
2,"AT22",1,5,5,1,1,1,5,2,5,6,4,6
2,"AT31",3,10,10,5,5,2,3,2,5,2,3,3
2,"AT31",5,7,8,5,5,1,5,2,4,6,6,6
2,"AT21",9,10,10,9,6,1,5,2,5,4,4,6
2,"AT12",3,3,3,1,1,2,8,2,2,3,3,4
2,"AT31",7,8,10,5,5,3,2,2,4,6,6,5
2,"AT31",6,10,10,7,5,2,3,3,4,5,4,5
2,"AT12",6,8,8,4,4,2,5,1,8,8,5,6
2,"AT21",5,5,5,2,2,1,5,1,2,4,5,6
2,"AT12",5,8,9,5,3,2,5,3,6,4,3,5
2,"AT31",5,10,10,3,5,2,4,4,4,4,4,3
2,"AT22",4,4,6,4,2,2,4,1,5,3,4,5
2,"AT12",4,8,9,4,2,2,5,3,6,4,3,5
2,"AT22",4,8,10,4,1,1,5,1,6,6,6,6
2,"AT13",6,8,9,1,1,2,5,3,2,6,3,4
2,"AT31",3,3,3,0,0,4,2,5,3,3,3,6
2,"AT31",5,7,10,4,6,2,2,2,6,5,5,4
2,"AT34",3,0,2,5,4,1,5,4,2,2,5,3
2,"AT13",3,3,5,2,2,2,5,2,6,6,6,6
2,"AT31",88,88,5,1,1,1,5,2,6,6,6,6
2,"AT31",4,3,10,4,5,1,4,5,4,4,4,2
2,"AT31",7,9,9,5,5,1,4,2,6,5,5,6
2,"AT33",7,7,6,6,6,1,1,1,5,5,5,6
2,"AT12",7,7,8,5,5,2,4,3,4,6,6,6
2,"AT22",5,2,8,4,4,2,5,1,4,6,6,6
2,"AT21",2,5,8,0,0,1,5,1,3,3,3,5
2,"AT12",6,5,9,6,6,2,4,8,3,4,5,6
2,"AT12",6,8,8,5,5,1,5,1,2,3,3,4
2,"AT22",5,10,10,5,5,1,5,2,6,5,6,6
2,"AT13",6,6,7,7,7,1,5,4,5,6,6,6
2,"AT22",5,4,7,5,5,3,3,4,5,5,5,5
2,"AT13",3,4,9,2,1,1,5,5,2,6,6,6
2,"AT12",4,1,0,0,0,1,5,5,6,6,6,6
2,"AT32",0,1,1,0,0,3,5,1,1,1,8,5
2,"AT13",6,7,7,3,3,1,4,1,4,4,4,3
2,"AT12",6,4,4,6,6,1,5,1,4,5,5,6
2,"AT11",4,7,8,2,2,2,4,3,5,3,3,6
2,"AT33",6,7,7,5,5,3,5,5,4,3,3,4
2,"AT13",7,6,8,6,5,3,4,3,6,6,6,6
2,"AT22",3,9,9,4,1,2,4,3,6,6,6,6
2,"AT12",3,5,8,2,3,2,2,3,4,6,5,6
